,Brand ,Model ,Price 
0,Harley Benton,JB-75MN NA Vintage Series,169 €
1,Harley Benton,JB-20 SB Standard Series,99 €
2,Harley Benton,JB-20 BM Standard Series,99 €
3,Marcus Miller,V7 Swamp Ash-4 NT 2nd Gen,679 €
4,Fender,Squier Affinity Jazz IL Red,219 €
5,Fender,Player Series Jazz Bass MN 3TS,758 €
6,Fender,Squier Affinity Jazz IL Silver,225 €
7,Marcus Miller,V7 Alder-4 BK 2nd Gen,519 €
8,Fender,AM Ultra J Bass RW Ultraburst,2.153 €
9,Fender,SQ CV 60s Jazz Bass LRL 3TS,389 €
10,Fender,Geddy Lee Jazz Bass 3TSB,1.099 €
11,Fender,Player Series Jazz Bass MN TPL,727 €
12,Fender,Squier Affinity Jazz IL BSB,225 €
13,Fender,Vintera 60s Jazz Bass DB,969 €
14,Fender,AM Ultra J Bass RW ArcticPearl,2.143 €
15,Marcus Miller,V7 Alder-4 TS 2nd Gen,519 €
16,Fender,AM Ultra J Bass MN Texas Tea,2.112 €
17,Fender,Geddy Lee Jazz Bass BK,1.127 €
18,Fender,Am Pro II Jazz Bass RW OW,1.841 €
19,Harley Benton,JB-75MN SB Vintage Series,169 €
20,Harley Benton,Bass Guitar Kit J-Style,99 €
21,Fender,Player Series Jazz Bass MN PWT,717 €
22,G&L,Tribute JB Lake Placid Blue,499 €
23,Fender,SQ CV 60s Jazz Bass LRL DPB,379 €
24,Marcus Miller,V3 TS 2nd Gen,369 €
25,Fender,Player Series Jazz Bass MN BCR,748 €
26,Fender,SQ CV 70s Jazz Bass MN NAT,379 €
27,Fender,AM Ultra J Bass MN Cobra Blue,2.102 €
28,Marcus Miller,V7 Vintage Alder BK 2nd Gen,575 €
29,Fender,Jazz Bass 60th Ann APL,2.255 €
30,Fender,Flea Sig Bass RDWRN SHP,1.254 €
31,Marcus Miller,V3 MA 2nd Gen,369 €
32,Marcus Miller,V7 Vintage Alder BMR 2nd Gen,575 €
33,Fender,SQ Contemporary J-Bass MRD IL,334 €
34,Harley Benton,JB-75MN Black Vintage Series,169 €
35,Fender,Player Series Jazz Bass PF Cap,718 €
36,Fender,Am Pro II Jazz Bass RST PINE,1.846 €
37,Fender,Squier Affinity Jazz IL BK,228 €
38,Fender,Vintera 60s Jazz Bass 3-SB,939 €
39,Marcus Miller,V7 Alder-4 LPB 2nd Gen,519 €
40,Marcus Miller,V7 Alder-4 BUR 2nd Gen,519 €
41,Fender,Squier Paranormal J-Bass 54 WB,419 €
42,Marcus Miller,V3 AWH 2nd Gen,311 €
43,Fender,Player Series Jazz Bass PF 3TS,718 €
44,Fender,SQ CV 70s Jazz Bass MN 3TS,379 €
45,Sadowsky,MetroLine 21 4 LTD WBTS,3.099 €
46,Fender,SQ CV 70s Jazz Bass MN BK,372 €
47,Fender,SQ CV 60s Jazz Bass LRL BK,379 €
48,Harley Benton,Enhanced MJ-4MN Natural,299 €
49,Fender,AM Perf Jazz Bass RW 3TSB,1.302 €
50,Sandberg,California II TM4 RW TS HG,1.549 €
51,Fender,Deluxe Active Jazz Bass PF SFP,1.049 €
52,Fender,Am Pro II Jazz Bass MN OW,1.846 €
53,Fender,Am Pro II Jazz Bass RW 3TS,1.841 €
54,Marcus Miller,V7 Swamp Ash-4 TS 2nd Gen,630 €
55,Marcus Miller,V3 BK 2nd Gen,329 €
56,Marcus Miller,V10 4 TS,1.229 €
