,Brand ,Model ,Price 
0,Chapman Guitars,ML1-Pro X Lunar Burl,1.399 €
1,Charvel,Pro-Mod DK24 HH 2PT CM MBF,919 €
2,Fender,SQ CV 50s Strat MN BK,379 €
3,ESP,LTD MH-10 Black,219 €
4,Harley Benton,ST-20 WH Standard Series,79 €
5,BC Rich,Shredzilla Extreme Exotic CB,1.569 €
6,ESP,LTD M-1000HT BP Black Fade,1.349 €
7,Schecter,C-1 Hellraiser WH,899 €
8,Harley Benton,Fusion-II HSH Roasted FNT,399 €
9,Solar Guitars,S1.6 FR BLB,1.025 €
10,Fender,Player Series Strat PF BLK,625 €
11,Fender,AM Ultra Strat MN HSS TexasTea,1.999 €
12,Solar Guitars,S1.6 PP,1.233 €
13,Cort,G290 FAT Antique Violin,589 €
14,Chapman Guitars,ML1 Pro Modern Pitch Black,1.079 €
15,Harley Benton,Amarok-6 EGNT Quilted  B-Stock,389 €
16,Fender,AM Acoustasonic Strat BK,1.725 €
17,Schecter,Hellraiser C1 FR S BCH,1.233 €
18,Fender,Squier Bullet Strat BSB,125 €
19,ESP,LTD M-1000BP Purple NT Burst,1.384 €
20,ESP,LTD MH-200 Black,499 €
21,PRS,John Mayer Silver Sky MN MR,2.698 €
22,Harley Benton,CST-24 BK B-Stock,175 €
23,Fender,AM Pro II Strat MN RST PIN,1.743 €
24,Jackson,JS22 Dinky AH MBL,199 €
25,Fender,SQ CV 50s Strat MN WHB,379 €
26,ESP,LTD SN 1000 FRM Black Blast,1.538 €
27,Fender,Clapton Strat Signature BLK,2.155 €
28,Schecter,C-1 Apocalypse Red Reign,1.333 €
29,Harley Benton,CST-24 Paradise Flame,222 €
30,Jackson,JS32 DKA AH SBK,295 €
31,Fender,Vintera 60s Strat IBM,839 €
32,ESP,LTD SN 1000 FRM PW,1.025 €
33,Fender,AM Ultra Strat HSS MN U.burst,1.999 €
34,ESP,LTD MH-200QM NT STBC,499 €
35,Harley Benton,Fusion-II HSH EB FBLB,299 €
36,Fender,Player Series Strat PLT MN ACB,798 €
37,Schecter,C-1 FR S Apocalypse Red Reign,1.438 €
38,ESP,LTD M-200 AGRY,499 €
39,Harley Benton,CST-24T Ocean Flame,249 €
40,Fender,Player Series Strat HSS MN TPL,629 €
41,Fender,Squier Bullet Strat HSS Bundle,148 €
42,PRS,Custom 24 35th Anniv. CC,4.299 €
43,Fender,AM Pro II Strat LH 3TSB,1.744 €
44,Fender,AM Pro II Strat MYST SFG,1.743 €
45,Jackson,Pro SL2 Mick Thomson Black,819 €
46,Harley Benton,Fusion-II HSH Roasted FBLB Set,414 €
47,Fender,Tom Morello Strat FR RW BLK,1.347 €
48,Dean Guitars,Exile Select 7 Str. BP STQB,999 €
49,Chapman Guitars,ML1 Modern Storm Burst,699 €
50,Harley Benton,R-456FR BK Progressive Series,179 €
51,Jackson,Pro SL2 Mick Thomson White,846 €
52,Fender,AM Original 50 Strat MN 2CSB,1.749 €
53,Jackson,JS32 Q Dinky DKA AH DSB,368 €
54,Fender,Squier Affinity IL BSB,195 €
55,Fender,Jimi Hendrix Strat OWH,919 €
56,Schecter,C-1 Platinum SSV,799 €
57,Fender,Clapton Custom Shop MDB,3.998 €
58,Fender,Player Series Strat HSS PF 3TS,639 €
